0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0025,0.037494720936437166,5.100570400474929e-07,2.6780567125756863e-06,9.340485014295458e-11,2.0835728966554004e-06,1.1156185678493295e-11,1.431992952204158e-10,2.602023492127075e-22,2.757984080781456e-22,3.583974458681319e-20,5.247926978515612e-18,1.2078622660055848e-20,2.2896031769416466e-19,7.189212394175873e-18,5.5256300391161754e-14,1.1998672072738865e-16,1.7176250941740433e-15,2.347176911541874e-17,2.2887378331328587e-15,1.078623443098601e-18,1.1579495712260892e-16,1.454540991329876e-19
0.005,0.07496804607767187,3.14620128678007e-06,1.617192061046531e-05,9.719182410529388e-10,1.259698958549005e-05,1.192332435922993e-10,1.4778932305731312e-09,6.6953027818509176e-21,6.5166951489005124e-21,7.860951664746251e-19,1.0356708864762273e-16,2.7622794745508316e-19,4.61275176629859e-18,1.4181845410145207e-16,8.977589305792462e-13,2.17180652482857e-15,3.058383133072371e-14,4.621751968811793e-16,3.939405244625781e-14,2.143454792030676e-17,2.1501222344608186e-15,3.115611035896924e-18
0.0075,0.1123890137628697,1.113527257145731e-05,5.604652279496728e-05,5.48231288539846e-09,4.3681980644613863e-05,6.895029357746329e-10,8.263076897472267e-09,8.879537097368985e-20,7.969975504562923e-20,8.949221258615115e-18,1.0637202559131897e-15,3.2703824337658633e-18,4.838516021680451e-17,1.456746377969177e-15,7.6468179502731e-12,2.054040253245819e-14,2.8468779575808727e-13,4.737036999527097e-15,3.552445046716657e-13,2.2180221113537572e-16,2.0861721982586124e-14,3.4642921621895666e-17
0.01,0.149709924723232,2.9658190688160225e-05,0.00014616602712345613,2.2213251592238478e-08,0.00011394653556082634,2.8594061133047483e-09,3.317034371649996e-08,8.085678308705149e-19,6.719048426362152e-19,7.041250147099169e-17,7.56971746030656e-15,2.6695817608201856e-17,3.5177751026843657e-16,1.0372647673828868e-14,4.543167082219855e-11,1.3509357377441747e-13,1.8436057298672588e-12,3.364420204595932e-14,2.233133012008542e-12,1.59102513263773e-15,1.40758703898456e-13,2.662516451065335e-16
0.0125,0.18686654949313072,6.600991731865041e-05,0.0003184715946363667,7.234530420440865e-08,0.0002483050117426,9.518185281488858e-09,1.0699641208159253e-07,5.682385796956997e-18,4.387878990839794e-18,4.302051017769467e-16,4.192931237274875e-14,1.6884251934282447e-16,1.9913416029115793e-15,5.751357883798178e-14,2.1139940909478896e-10,6.939299750464222e-13,9.327825545356848e-12,1.8601413956480043e-13,1.0987834004977399e-11,8.887237851936224e-15,7.417198059219569e-13,1.5892222118786734e-15
0.015,0.22378009761015463,0.0001295819963646008,0.0006118342492010999,2.0108523536268496e-07,0.00047714697069086673,2.700775627919831e-08,2.944958494550847e-07,3.284828873671997e-17,2.3652619848115463e-17,2.174606511712723e-15,1.925759623923941e-13,8.816593647089761e-16,9.349456387281389e-15,2.645266461202156e-13,8.203028014320239e-10,2.9648523016026676e-12,3.9267521815697175e-11,8.528342876153276e-13,4.505926358321682e-11,4.1179129028011454e-14,3.250708776396971e-12,7.848979407304305e-15
0.0175,0.260360433048717,0.00023169160249266667,0.0010702551421312666,4.948778658530296e-07,0.0008350510729571333,6.778630807593423e-08,7.17638460939549e-07,1.625780127728843e-16,1.0951938849259439e-16,9.462703667268207e-15,7.630154871324273e-13,3.955615818775095e-15,3.787676232672251e-14,1.0499566990137931e-12,2.7605227815538086e-09,1.095971929298279e-11,1.4305680918894827e-10,3.3733217093112036e-12,1.6016044163623378e-10,1.6466146550456302e-13,1.232465259701217e-11,3.337593874946986e-14
0.02,0.29650996827895176,0.00038529181472616664,0.0017407233007932334,1.105241553297096e-06,0.0013592649463486,1.5427100672896586e-07,1.5870235999876063e-06,7.081101122286465e-16,4.476413749417348e-16,3.642203542841975e-14,2.679501395626424e-12,1.566989571635616e-14,1.3602898970830276e-13,3.694909588877321e-12,8.274424979287017e-09,3.6004646767522155e-11,4.6327657018824785e-10,1.182657371866864e-11,5.067685339273812e-10,5.837654105370752e-13,4.15208364418441e-11,1.255559301588288e-13
0.0225,0.33212771877292885,0.0006046019257603,0.0026710194845034,2.2795450777266042e-06,0.0020881413505824333,3.240200081224119e-07,3.2414283862008915e-06,2.7687867747387533e-15,1.6473298286763458e-15,1.264619168549748e-13,8.504704957288954e-12,5.5904189635312365e-14,4.4161382534623174e-13,1.1755689548188586e-11,2.2519873866536978e-08,1.071754813879028e-10,1.3596494436929697e-09,3.7476165678152405e-11,1.4551226859515837e-09,1.8711024773372063e-12,1.2672154605842178e-10,4.2615164212926747e-13
