arc_length,pressure
687.24,156.46
688.99,156.81
690.73,157.15
692.48,157.5
694.22,157.81
695.97,158.09
697.71,158.38
699.45,158.67
701.2,158.96
702.94,159.24
704.69,159.54
706.43,159.83
708.18,160.13
709.92,160.42
711.66,160.71
713.41,160.98
715.15,161.25
716.9,161.52
718.64,161.78
720.39,162.05
722.13,162.31
723.87,162.58
725.62,162.84
727.36,163.1
729.11,163.36
730.85,163.62
732.6,163.87
734.34,164.12
736.08,164.37
737.83,164.62
739.57,164.87
741.32,165.11
743.06,165.36
744.81,165.61
746.55,165.85
748.29,166.09
750.04,166.34
751.78,166.57
753.53,166.81
755.27,167.05
757.02,167.29
758.76,167.52
760.5,167.75
762.25,167.99
763.99,168.22
765.74,168.45
767.48,168.69
769.23,168.92
770.97,169.14
772.71,169.37
774.46,169.6
776.2,169.82
777.95,170.05
779.69,170.27
781.44,170.49
783.18,170.72
784.92,170.94
786.67,171.16
788.41,171.38
790.16,171.59
791.9,171.81
793.65,172.03
795.39,172.24
797.13,172.46
798.88,172.68
800.62,172.89
802.37,173.1
804.11,173.32
805.86,173.53
807.6,173.75
809.34,173.96
811.09,174.18
812.83,174.39
814.58,174.61
816.32,174.82
818.07,175.03
819.81,175.24
821.55,175.46
823.3,175.67
825.04,175.88
826.79,176.1
828.53,176.32
830.28,176.54
832.02,176.76
833.76,176.98
835.51,177.2
837.25,177.42
839.0,177.64
840.74,177.86
842.49,178.08
844.23,178.3
845.97,178.53
847.72,178.76
849.46,178.99
851.21,179.23
852.95,179.46
854.7,179.69
856.44,179.94
858.18,180.19
859.93,180.44
861.67,180.7
863.42,180.95
865.16,181.2
866.91,181.45
868.65,181.7
870.39,181.95
872.14,182.2
873.88,182.46
875.63,182.71
877.37,182.96
879.12,183.21
880.86,183.46
882.6,183.71
884.35,183.96
886.09,184.2
887.84,184.45
889.58,184.7
891.33,184.95
893.07,185.2
894.81,185.45
896.56,185.7
898.3,185.95
900.05,186.19
901.79,186.44
903.54,186.68
905.28,186.93
907.02,187.17
908.77,187.42
910.51,187.66
912.26,187.9
914.0,188.15
915.75,188.39
917.49,188.63
919.23,188.88
920.98,189.12
922.72,189.36
924.47,189.6
926.21,189.84
927.96,190.08
929.7,190.32
931.44,190.56
933.19,190.8
934.93,191.04
936.68,191.28
938.42,191.52
940.16,191.75
941.91,191.99
943.65,192.23
945.4,192.47
947.14,192.71
948.89,192.94
950.63,193.18
952.37,193.42
954.12,193.66
955.86,193.89
957.61,194.12
959.35,194.35
961.1,194.58
962.84,194.81
964.58,195.03
966.33,195.26
968.07,195.49
969.82,195.72
971.56,195.95
973.31,196.18
975.05,196.41
976.79,196.63
978.54,196.85
980.28,197.07
982.03,197.29
983.77,197.51
985.52,197.72
987.26,197.94
989.0,198.16
990.75,198.38
992.49,198.6
994.24,198.82
995.98,199.04
997.73,199.26
999.47,199.47
1001.2,199.69
1003.0,199.91
1004.7,200.12
1006.4,200.34
1008.2,200.56
1009.9,200.78
1011.7,200.99
1013.4,201.21
1015.2,201.43
1016.9,201.64
1018.7,201.86
1020.4,202.07
1022.1,202.28
1023.9,202.5
1025.6,202.71
1027.4,202.93
1029.1,203.14
1030.9,203.35
1032.6,203.57
1034.4,203.78
1036.1,203.99
1037.8,204.2
1039.6,204.41
1041.3,204.62
1043.1,204.84
1044.8,205.05
1046.6,205.26
1048.3,205.47
1050.1,205.69
1051.8,205.9
1053.5,206.11
1055.3,206.32
1057.0,206.53
1058.8,206.74
1060.5,206.95
1062.3,207.16
1064.0,207.37
1065.8,207.58
1067.5,207.79
1069.2,208.01
1071.0,208.23
1072.7,208.45
1074.5,208.68
1076.2,208.9
1078.0,209.13
1079.7,209.36
1081.5,209.59
1083.2,209.82
1084.9,210.06
1086.7,210.29
1088.4,210.53
1090.2,210.78
1091.9,211.03
1093.7,211.29
1095.4,211.55
1097.1,211.81
1098.9,212.08
1100.6,212.37
1102.4,212.67
1104.1,212.97
1105.9,213.27
1107.6,213.57
1109.4,213.87
1111.1,214.17
1112.8,214.47
1114.6,214.78
1116.3,215.09
1118.1,215.39
1119.8,215.71
1121.6,216.02
1123.3,216.33
1125.1,216.65
1126.8,216.97
1128.5,217.29
1130.3,217.62
1132.0,217.94
1133.8,218.26
1135.5,218.59
1137.3,218.91
1139.0,219.24
1140.8,219.57
1142.5,219.9
1144.2,220.23
1146.0,220.57
1147.7,220.9
1149.5,221.24
1151.2,221.58
1153.0,221.92
1154.7,222.27
1156.5,222.61
1158.2,222.96
1159.9,223.3
1161.7,223.65
1163.4,224.0
1165.2,224.35
1166.9,224.7
1168.7,225.06
1170.4,225.41
1172.2,225.77
1173.9,226.13
1175.6,226.49
1177.4,226.85
1179.1,227.21
1180.9,227.58
1182.6,227.94
1184.4,228.31
1186.1,228.69
1187.9,229.06
1189.6,229.43
1191.3,229.81
1193.1,230.18
1194.8,230.56
1196.6,230.94
1198.3,231.32
1200.1,231.7
1201.8,232.08
1203.6,232.47
1205.3,232.86
1207.0,233.24
1208.8,233.64
1210.5,234.03
1212.3,234.42
1214.0,234.82
1215.8,235.21
1217.5,235.61
1219.2,236.01
1221.0,236.42
1222.7,236.82
1224.5,237.23
1226.2,237.64
1228.0,238.05
1229.7,238.46
1231.5,238.87
1233.2,239.29
1234.9,239.7
1236.7,240.12
1238.4,240.54
1240.2,240.97
1241.9,241.39
1243.7,241.82
1245.4,242.24
1247.2,242.67
1248.9,243.1
1250.6,243.53
1252.4,243.97
1254.1,244.41
1255.9,244.85
1257.6,245.31
1259.4,245.77
1261.1,246.24
1262.9,246.71
1264.6,247.18
1266.3,247.66
1268.1,248.15
1269.8,248.64
1271.6,249.14
1273.3,249.66
1275.1,250.18
1276.8,250.72
1278.6,251.29
1280.3,251.88
1282.0,252.49
1283.8,253.11
1285.5,253.74
1287.3,254.4
1289.0,255.09
1290.8,255.8
1292.5,256.53
1294.3,257.29
1296.0,258.07
1297.7,258.87
1299.5,259.65
1301.2,260.43
1303.0,261.21
1304.7,261.99
1306.5,262.78
1308.2,263.58
1310.0,264.38
1311.7,265.18
1313.4,265.99
1315.2,266.8
1316.9,267.62
1318.7,268.44
1320.4,269.26
1322.2,270.09
1323.9,270.92
1325.7,271.75
1327.4,272.58
1329.1,273.42
1330.9,274.25
1332.6,275.1
1334.4,275.95
1336.1,276.81
1337.9,277.67
1339.6,278.53
1341.3,279.4
1343.1,280.27
1344.8,281.14
1346.6,282.01
1348.3,282.89
1350.1,283.77
1351.8,284.66
1353.6,285.56
1355.3,286.46
1357.0,287.37
1358.8,288.28
1360.5,289.2
1362.3,290.12
1364.0,291.04
1365.8,291.97
1367.5,292.9
1369.3,293.84
1371.0,294.79
1372.7,295.74
1374.5,296.7
1376.2,297.67
1378.0,298.64
1379.7,299.62
1381.5,300.61
1383.2,301.59
1385.0,302.59
1386.7,303.59
1388.4,304.58
1390.2,305.59
1391.9,306.61
1393.7,307.63
1395.4,308.65
1397.2,309.68
1398.9,310.72
1400.7,311.76
1402.4,312.8
1404.1,313.86
1405.9,314.91
1407.6,315.98
1409.4,317.06
1411.1,318.15
1412.9,319.25
1414.6,320.35
1416.4,321.46
1418.1,322.57
1419.8,323.69
1421.6,324.81
1423.3,325.94
1425.1,327.08
1426.8,328.22
1428.6,329.38
1430.3,330.54
1432.1,331.71
1433.8,332.87
1435.5,334.04
1437.3,335.21
1439.0,336.4
1440.8,337.6
1442.5,338.81
1444.3,340.02
1446.0,341.23
1447.7,342.46
1449.5,343.7
1451.2,344.94
1453.0,346.19
1454.7,347.44
1456.5,348.7
1458.2,349.97
1460.0,351.24
1461.7,352.52
1463.4,353.8
1465.2,355.1
1466.9,356.4
1468.7,357.72
1470.4,359.05
1472.2,360.39
1473.9,361.74
1475.7,363.09
1477.4,364.44
1479.1,365.79
1480.9,367.14
1482.6,368.5
1484.4,369.87
1486.1,371.25
1487.9,372.63
1489.6,374.02
1491.4,375.41
1493.1,376.81
1494.8,378.22
1496.6,379.63
1498.3,381.05
1500.1,382.5
1501.8,383.95
1503.6,385.42
1505.3,386.89
1507.1,388.37
1508.8,389.85
1510.5,391.34
1512.3,392.84
1514.0,394.34
1515.8,395.84
1517.5,397.35
1519.3,398.87
1521.0,400.4
1522.8,401.91
1524.5,403.43
1526.2,404.95
1528.0,406.48
1529.7,408.03
1531.5,409.59
1533.2,411.16
1535.0,412.74
1536.7,414.32
1538.5,415.9
1540.2,417.51
1541.9,419.11
1543.7,420.73
1545.4,422.34
1547.2,423.97
1548.9,425.59
1550.7,427.22
1552.4,428.86
1554.2,430.5
1555.9,432.14
1557.6,433.79
1559.4,435.46
1561.1,437.16
1562.9,438.87
1564.6,440.59
1566.4,442.29
1568.1,443.98
1569.8,445.67
1571.6,447.37
1573.3,449.07
1575.1,450.78
1576.8,452.49
1578.6,454.23
1580.3,455.97
1582.1,457.71
1583.8,459.45
1585.5,461.2
1587.3,462.95
1589.0,464.7
1590.8,466.47
1592.5,468.26
1594.3,470.05
1596.0,471.87
1597.8,473.7
1599.5,475.53
1601.2,477.37
1603.0,479.2
1604.7,481.05
1606.5,482.89
1608.2,484.73
1610.0,486.58
1611.7,488.4
1613.5,490.22
1615.2,492.07
1616.9,493.92
1618.7,495.78
1620.4,497.64
1622.2,499.52
1623.9,501.41
1625.7,503.31
1627.4,505.2
1629.2,507.1
1630.9,509.01
1632.6,510.92
1634.4,512.87
1636.1,514.81
1637.9,516.76
1639.6,518.7
1641.4,520.65
1643.1,522.61
1644.9,524.56
1646.6,526.51
1648.3,528.47
1650.1,530.43
1651.8,532.41
1653.6,534.45
1655.3,536.47
1657.1,538.47
1658.8,540.47
1660.6,542.46
1662.3,544.46
1664.0,546.46
1665.8,548.46
1667.5,550.46
1669.3,552.47
1671.0,554.51
1672.8,556.56
1674.5,558.61
1676.2,560.66
1678.0,562.71
1679.7,564.76
1681.5,566.81
1683.2,568.88
1685.0,570.96
1686.7,573.05
1688.5,575.15
1690.2,577.28
1691.9,579.42
1693.7,581.56
1695.4,583.7
1697.2,585.84
1698.9,587.98
1700.7,590.09
1702.4,592.18
1704.2,594.28
1705.9,596.37
1707.6,598.49
1709.4,600.63
1711.1,602.78
1712.9,604.93
1714.6,607.09
1716.4,609.27
1718.1,611.45
1719.9,613.63
1721.6,615.81
1723.3,617.99
1725.1,620.16
1726.8,622.38
1728.6,624.61
1730.3,626.84
1732.1,629.07
1733.8,631.3
1735.6,633.54
1737.3,635.77
1739.0,638.0
1740.8,640.23
1742.5,642.46
1744.3,644.69
