arc_length,pressure
0.55772,1.6268
0.55945,1.6263
0.56118,1.6258
0.56292,1.6253
0.56465,1.6248
0.56638,1.6243
0.56811,1.6238
0.56984,1.6233
0.57158,1.6228
0.57331,1.6223
0.57504,1.6219
0.57677,1.6214
0.5785,1.6209
0.58024,1.6205
0.58197,1.62
0.5837,1.6196
0.58543,1.6191
0.58717,1.6187
0.5889,1.6182
0.59063,1.6178
0.59236,1.6174
0.59409,1.6169
0.59583,1.6165
0.59756,1.6161
0.59929,1.6157
0.60102,1.6153
0.60275,1.6148
0.60449,1.6144
0.60622,1.614
0.60795,1.6136
0.60968,1.6132
0.61141,1.6129
0.61315,1.6125
0.61488,1.6121
0.61661,1.6117
0.61834,1.6113
0.62007,1.6109
0.62181,1.6106
0.62354,1.6102
0.62527,1.6099
0.627,1.6095
0.62873,1.6091
0.63047,1.6088
0.6322,1.6084
0.63393,1.6081
0.63566,1.6077
0.63739,1.6074
0.63913,1.6071
0.64086,1.6067
0.64259,1.6064
0.64432,1.6061
0.64605,1.6058
0.64779,1.6054
0.64952,1.6051
0.65125,1.6048
0.65298,1.6045
0.65472,1.6042
0.65645,1.6039
0.65818,1.6036
0.65991,1.6033
0.66164,1.603
0.66338,1.6027
0.66511,1.6024
0.66684,1.6021
0.66857,1.6018
0.6703,1.6015
0.67204,1.6012
0.67377,1.601
0.6755,1.6007
0.67723,1.6004
0.67896,1.6001
0.6807,1.5999
0.68243,1.5996
0.68416,1.5993
0.68589,1.5991
0.68762,1.5988
0.68936,1.5986
0.69109,1.5983
0.69282,1.5981
0.69455,1.5978
0.69628,1.5976
0.69802,1.5973
0.69975,1.5971
0.70148,1.5968
0.70321,1.5966
0.70494,1.5964
0.70668,1.5961
0.70841,1.5959
0.71014,1.5957
0.71187,1.5955
0.7136,1.5952
0.71534,1.595
0.71707,1.5948
0.7188,1.5946
0.72053,1.5944
0.72227,1.5941
0.724,1.5939
0.72573,1.5937
0.72746,1.5935
0.72919,1.5933
0.73093,1.5931
0.73266,1.5929
0.73439,1.5927
0.73612,1.5925
0.73785,1.5923
0.73959,1.5921
0.74132,1.5919
0.74305,1.5917
0.74478,1.5915
0.74651,1.5913
0.74825,1.5911
0.74998,1.5909
0.75171,1.5908
