0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0073189,0.054133,0.00083934,0.00036204,1.0678e-05,1.0458e-05,1.2091e-05,1.1063e-05
0.02,0.021151,0.10114,0.003438,0.0015515,7.9339e-05,7.7983e-05,9.0443e-05,8.3578e-05
0.03,0.038657,0.14233,0.0081139,0.003829,0.00032054,0.00031633,0.00036418,0.00033993
0.04,0.058667,0.1803,0.014842,0.0072668,0.00091433,0.0009059,0.001034,0.00097516
0.05,0.080897,0.21546,0.023513,0.011872,0.00208,0.0020674,0.0023367,0.0022253
0.06,0.105,0.24819,0.034077,0.017657,0.0040376,0.0040261,0.0045084,0.0043224
0.07,0.13066,0.27859,0.04647,0.024591,0.0069916,0.0069845,0.0077565,0.0074749
0.08,0.15755,0.30679,0.060589,0.032633,0.011112,0.011101,0.012247,0.01185
0.09,0.18516,0.33302,0.076289,0.041716,0.016513,0.016504,0.0181,0.017572
0.1,0.21308,0.35749,0.093412,0.051807,0.023276,0.02327,0.025379,0.02472
0.11,0.24099,0.38034,0.11179,0.06281,0.031451,0.03145,0.034122,0.033321
0.12,0.26863,0.40181,0.1312,0.074666,0.04105,0.041057,0.044317,0.043375
0.13,0.29575,0.42203,0.15149,0.087284,0.05207,0.052069,0.055909,0.054862
0.14,0.32217,0.44109,0.17244,0.10057,0.064406,0.064425,0.068882,0.067672
0.15,0.34779,0.45901,0.19387,0.11444,0.078051,0.078061,0.083057,0.081737
0.16,0.37253,0.47612,0.21563,0.12881,0.092852,0.092876,0.098343,0.096919
0.17,0.39634,0.4923,0.23755,0.14358,0.10875,0.10878,0.11461,0.11309
0.18,0.41916,0.50758,0.25951,0.15869,0.12548,0.12551,0.13174,0.13012
0.19,0.44101,0.52207,0.28137,0.17405,0.14308,0.14312,0.14958,0.14788
0.2,0.46186,0.53597,0.30302,0.1896,0.16123,0.16127,0.16799,0.16621
0.21,0.4817,0.54924,0.32438,0.20525,0.17998,0.18003,0.18684,0.185
0.22,0.50058,0.56201,0.34534,0.22096,0.19906,0.1991,0.20601,0.20411
0.23,0.51857,0.57424,0.36585,0.23666,0.21844,0.21849,0.22538,0.22343
0.24,0.53559,0.58597,0.38587,0.2523,0.2379,0.23794,0.24485,0.24287
0.25,0.55175,0.59717,0.40534,0.26784,0.25747,0.25752,0.2643,0.26231
0.26,0.56705,0.60789,0.42422,0.28323,0.27694,0.27699,0.28367,0.28166
0.27,0.58152,0.6182,0.44248,0.29843,0.29629,0.29634,0.30287,0.30085
0.28,0.59523,0.62821,0.46012,0.31342,0.31541,0.31547,0.32183,0.3198
0.29,0.6082,0.63784,0.47712,0.32816,0.3343,0.33439,0.34048,0.33847
0.3,0.62051,0.64729,0.49348,0.34263,0.35279,0.35289,0.3588,0.35678
0.31,0.63217,0.65633,0.5092,0.35681,0.37095,0.37107,0.37671,0.37473
0.32,0.64325,0.66511,0.52429,0.37068,0.38867,0.38879,0.39421,0.39225
0.33,0.65374,0.67354,0.53875,0.38424,0.40593,0.40605,0.41128,0.40931
0.34,0.66372,0.68175,0.55261,0.39748,0.42275,0.42289,0.42785,0.42591
0.35,0.6732,0.68975,0.56589,0.41038,0.43911,0.43924,0.44396,0.44203
0.36,0.68224,0.69765,0.57858,0.42295,0.45491,0.45503,0.45955,0.45769
0.37,0.69084,0.70521,0.59073,0.43518,0.47024,0.4704,0.47468,0.47279
0.38,0.69905,0.71257,0.60234,0.44707,0.485,0.48515,0.48928,0.48746
0.39,0.70688,0.71977,0.61345,0.45863,0.49938,0.49954,0.50342,0.50158
0.4,0.71434,0.72677,0.62406,0.46985,0.51314,0.5133,0.51703,0.51526
0.41,0.72147,0.73351,0.63421,0.48075,0.52652,0.52669,0.53019,0.52842
0.42,0.72828,0.74016,0.64391,0.49132,0.5393,0.53946,0.54287,0.54114
0.43,0.7348,0.74654,0.65319,0.50158,0.55173,0.55191,0.5551,0.55337
0.44,0.74105,0.75279,0.66206,0.51152,0.56358,0.56375,0.56686,0.5652
0.45,0.74703,0.75881,0.67054,0.52115,0.5751,0.57528,0.57821,0.57654
0.46,0.75277,0.76472,0.67866,0.53049,0.58612,0.58629,0.58912,0.5875
0.47,0.75827,0.77044,0.68643,0.53954,0.59674,0.59693,0.59963,0.59803
0.48,0.76357,0.77603,0.69387,0.54831,0.60695,0.60712,0.60974,0.60817
0.49,0.76865,0.78145,0.70099,0.55681,0.61682,0.61701,0.61949,0.61794
0.5,0.77355,0.78677,0.70782,0.56505,0.62623,0.62641,0.62887,0.62734
0.51,0.77826,0.79198,0.71436,0.57302,0.63538,0.63557,0.6379,0.63639
0.52,0.78282,0.79708,0.72064,0.58076,0.64412,0.6443,0.64658,0.64511
0.53,0.78719,0.802,0.72667,0.58825,0.65255,0.65275,0.65496,0.65349
0.54,0.79144,0.80683,0.73246,0.59551,0.66068,0.66086,0.66301,0.66159
0.55,0.79552,0.8115,0.73802,0.60254,0.6685,0.6687,0.67079,0.66937
0.56,0.7995,0.81609,0.74337,0.60936,0.67602,0.6762,0.67827,0.67688
0.57,0.80331,0.82055,0.74851,0.61597,0.68329,0.68349,0.68549,0.6841
0.58,0.80703,0.82493,0.75347,0.62239,0.69029,0.69047,0.69243,0.69109
0.59,0.81061,0.82916,0.75824,0.62861,0.69702,0.69722,0.69915,0.69781
0.6,0.81409,0.83332,0.76284,0.63464,0.70354,0.70372,0.70562,0.7043
0.61,0.81744,0.83735,0.76727,0.6405,0.70982,0.71002,0.71186,0.71057
