Time,avg(concentration),concentration_block2,concentration_block3,concentration_block4,concentration_block5,concentration_block6,concentration_block7,concentration_block8
0.61,1.3476,0.19542,0.92162,0.72101,0.099835,0.099858,0.097497,0.097641
0.62,1.3516,0.19617,0.92499,0.72628,0.10026,0.10028,0.097934,0.098071
0.63,1.3556,0.1969,0.92825,0.73142,0.10067,0.1007,0.098356,0.098486
0.64,1.3593,0.19761,0.93141,0.73643,0.10107,0.10109,0.098762,0.098886
0.65,1.363,0.1983,0.93448,0.74131,0.10146,0.10148,0.099155,0.099273
0.66,1.3666,0.19897,0.93746,0.74608,0.10183,0.10185,0.099535,0.099647
0.67,1.3701,0.19963,0.94035,0.75073,0.10219,0.10221,0.099902,0.10001
0.68,1.3735,0.20027,0.94316,0.75527,0.10254,0.10256,0.10026,0.10036
0.69,1.3768,0.2009,0.94589,0.7597,0.10288,0.1029,0.1006,0.1007
0.7,1.38,0.20151,0.94854,0.76402,0.10321,0.10323,0.10094,0.10103
0.71,1.3831,0.20211,0.95112,0.76825,0.10353,0.10355,0.10126,0.10135
0.72,1.3861,0.20269,0.95363,0.77238,0.10384,0.10385,0.10157,0.10166
0.73,1.3891,0.20325,0.95608,0.77642,0.10414,0.10416,0.10188,0.10196
0.74,1.392,0.20381,0.95846,0.78037,0.10443,0.10445,0.10217,0.10225
0.75,1.3948,0.20434,0.96077,0.78424,0.10472,0.10473,0.10246,0.10253
0.76,1.3976,0.20487,0.96303,0.78801,0.10499,0.10501,0.10274,0.10281
0.77,1.4002,0.20538,0.96523,0.79171,0.10526,0.10528,0.10301,0.10308
0.78,1.4029,0.20588,0.96738,0.79533,0.10553,0.10554,0.10327,0.10334
0.79,1.4054,0.20637,0.96947,0.79888,0.10578,0.10579,0.10353,0.10359
0.8,1.4079,0.20685,0.97152,0.80235,0.10603,0.10604,0.10378,0.10384
0.81,1.4103,0.20731,0.97351,0.80574,0.10627,0.10628,0.10402,0.10408
0.82,1.4127,0.20776,0.97546,0.80907,0.10651,0.10652,0.10426,0.10432
0.83,1.415,0.2082,0.97736,0.81234,0.10674,0.10675,0.10449,0.10454
0.84,1.4173,0.20863,0.97921,0.81553,0.10696,0.10697,0.10472,0.10477
0.85,1.4195,0.20905,0.98102,0.81867,0.10718,0.10719,0.10494,0.10498
0.86,1.4217,0.20946,0.9828,0.82174,0.10739,0.1074,0.10515,0.1052
0.87,1.4238,0.20986,0.98453,0.82475,0.1076,0.10761,0.10536,0.1054
0.88,1.4259,0.21025,0.98622,0.8277,0.1078,0.10781,0.10556,0.10561
0.89,1.4279,0.21063,0.98787,0.8306,0.108,0.10801,0.10576,0.1058
0.9,1.4299,0.211,0.98949,0.83344,0.1082,0.10821,0.10596,0.106
0.91,1.4318,0.21136,0.99107,0.83623,0.10839,0.1084,0.10615,0.10618
0.92,1.4337,0.21171,0.99262,0.83897,0.10857,0.10858,0.10633,0.10637
0.93,1.4356,0.21205,0.99414,0.84165,0.10875,0.10876,0.10651,0.10655
0.94,1.4374,0.21238,0.99562,0.84429,0.10893,0.10894,0.10669,0.10672
0.95,1.4392,0.2127,0.99707,0.84688,0.1091,0.10911,0.10686,0.10689
0.96,1.4409,0.21302,0.99849,0.84942,0.10927,0.10928,0.10703,0.10706
0.97,1.4426,0.21333,0.99988,0.85191,0.10944,0.10945,0.1072,0.10723
0.98,1.4443,0.21363,1.0012,0.85436,0.1096,0.10961,0.10736,0.10739
0.99,1.4459,0.21392,1.0026,0.85676,0.10976,0.10977,0.10752,0.10754
1.0,1.4476,0.2142,1.0039,0.85913,0.10991,0.10992,0.10767,0.1077
