Time,concentration_block1,concentration_block2
0.0025,0.0050895,3.0468e-08
0.005,0.0090706,2.9361e-07
0.0075,0.013297,1.4478e-06
0.01,0.017674,4.8876e-06
0.0125,0.022146,1.2859e-05
0.015,0.026676,2.8372e-05
0.0175,0.031237,5.4974e-05
0.02,0.035811,9.6501e-05
0.0225,0.040384,0.00015685
0.025,0.044944,0.00023977
0.0275,0.049484,0.00034874
0.03,0.053998,0.00048686
0.0325,0.05848,0.00065673
0.035,0.062927,0.00086032
0.0375,0.067335,0.0010992
0.04,0.071705,0.001374
0.0425,0.076033,0.0016851
0.045,0.080321,0.0020322
0.0475,0.084567,0.0024146
0.05,0.088773,0.002831
0.0525,0.092937,0.0032797
0.055,0.097062,0.0037587
0.0575,0.10115,0.0042656
0.06,0.10519,0.0047979
0.0625,0.1092,0.005353
0.065,0.11317,0.0059278
0.0675,0.1171,0.0065197
0.07,0.12099,0.0071259
0.0725,0.12485,0.0077434
0.075,0.12866,0.0083696
0.0775,0.13244,0.009002
0.08,0.13617,0.0096381
0.0825,0.13986,0.010276
0.085,0.14351,0.010913
0.0875,0.14712,0.011547
0.09,0.15068,0.012177
0.0925,0.1542,0.012802
0.095,0.15767,0.013419
0.0975,0.16109,0.014029
0.1,0.16447,0.014629
0.1025,0.1678,0.015219
0.105,0.17108,0.015799
0.1075,0.17431,0.016367
0.11,0.17749,0.016924
0.1125,0.18063,0.017469
0.115,0.18371,0.018002
0.1175,0.18675,0.018523
0.12,0.18974,0.019031
0.1225,0.19269,0.019527
0.125,0.19559,0.020011
0.1275,0.19844,0.020483
0.13,0.20125,0.020944
0.1325,0.20401,0.021393
0.135,0.20673,0.02183
0.1375,0.20941,0.022257
0.14,0.21205,0.022672
0.1425,0.21464,0.023078
0.145,0.2172,0.023473
0.1475,0.21972,0.023859
0.15,0.2222,0.024235
0.1525,0.22464,0.024602
0.155,0.22705,0.024961
0.1575,0.22943,0.025311
0.16,0.23177,0.025653
0.1625,0.23408,0.025988
0.165,0.23635,0.026315
0.1675,0.2386,0.026635
0.17,0.24082,0.026948
0.1725,0.243,0.027255
0.175,0.24516,0.027556
0.1775,0.24729,0.027851
0.18,0.2494,0.02814
0.1825,0.25148,0.028424
0.185,0.25353,0.028702
0.1875,0.25556,0.028976
0.19,0.25757,0.029245
0.1925,0.25955,0.02951
0.195,0.26151,0.02977
0.1975,0.26345,0.030027
0.2,0.26537,0.030279
0.2025,0.26727,0.030528
0.205,0.26915,0.030773
0.2075,0.271,0.031015
0.21,0.27284,0.031254
0.2125,0.27467,0.031489
0.215,0.27647,0.031722
0.2175,0.27826,0.031952
0.22,0.28002,0.032179
0.2225,0.28178,0.032404
0.225,0.28351,0.032626
0.2275,0.28524,0.032846
0.23,0.28694,0.033063
0.2325,0.28863,0.033279
0.235,0.29031,0.033492
0.2375,0.29197,0.033703
0.24,0.29362,0.033913
0.2425,0.29525,0.034121
0.245,0.29688,0.034327
0.2475,0.29848,0.034531
0.25,0.30008,0.034733
